,회계연도,회계기간,기준일,매출액,매출원가,매출총이익,영업이익,영업비용,기본주당순이익
0,2026,Q1,2025-04-27,44062000000.0,17394000000.0,26668000000.0,5030000000.0,5030000000.0,0.77
1,2025,Q4,2025-01-26,,,,,,
2,2025,Q2,2024-07-28,30040000000.0,7466000000.0,22574000000.0,3932000000.0,3932000000.0,0.68
3,2025,Q1,2024-04-28,26044000000.0,5638000000.0,20406000000.0,3497000000.0,3497000000.0,6.04
4,2024,Q4,2024-01-28,22103000000.0,5312000000.0,16791000000.0,3177000000.0,3177000000.0,4.98
5,2024,Q3,2023-10-29,18120000000.0,4720000000.0,13400000000.0,2983000000.0,2983000000.0,3.75
6,2024,Q2,2023-07-30,13507000000.0,4045000000.0,9462000000.0,2662000000.0,2662000000.0,2.5
7,2024,Q1,2023-04-30,7192000000.0,2544000000.0,4648000000.0,2508000000.0,2508000000.0,0.83
8,2023,Q4,2023-01-29,6051000000.0,2218000000.0,3833000000.0,2577000000.0,2577000000.0,0.5800000000000001
9,2023,Q3,2022-10-30,5931000000.0,2754000000.0,3177000000.0,2576000000.0,2576000000.0,0.27
10,2023,Q2,2022-07-31,6704000000.0,3789000000.0,2915000000.0,2416000000.0,2416000000.0,0.26
11,2023,Q1,2022-05-01,8288000000.0,2857000000.0,5431000000.0,3563000000.0,3563000000.0,0.65
12,2022,Q4,2022-01-30,7643000000.0,2644000000.0,4999000000.0,2029000000.0,2029000000.0,1.2000000000000002
